refit_year,IC,ICIR,RIC,RICIR
2000,0.06022145768998965,0.4474751458164649,0.06955383735605239,0.575408435483139
2002,0.04645957591561832,0.39797905765516545,0.05276328875132592,0.46669049446902705
2004,0.04735101230603731,0.34868335163324715,0.05037410884578718,0.4689581468896081
2006,0.03380362102200196,0.2722455049641934,0.03391215092082633,0.30524902669596526
2008,0.040245470376982506,0.2634602376895658,0.039081392252170354,0.2543175309373574
2010,0.021054357215868034,0.1503161780972175,0.025590978791913025,0.17468541973060636
2012,0.016503205653238113,0.1838668468846235,0.01603889036854523,0.1690774912067928
2014,-0.009821052022483973,-0.06732959847299393,-0.003844962159213065,-0.026377463274457988
2016,0.0002836618191659042,0.0020786604869527997,0.009395470998129624,0.06723802413149474
2018,0.010000227728408825,0.06935737647678433,0.005141895862083957,0.032933836332149434
2020,0.020632504279959347,0.11952433190463378,0.02127957951722542,0.11842466412258702
2022,0.010130766683890598,0.07123251064011457,0.01062484123198489,0.06927922805590168
2024,0.00701040384137312,0.04867994287639525,0.0025440877171049475,0.016720023988651488
